run_id,env,ordering,seed,status,oom,error_type,peak_memory_mb,ordering_search_time_sec,ttpi_training_time_sec,total_time_sec,success_rate,avg_return,mu,tt_cross_calls,tt_cross_function_evals,queried_points_total,queries_per_completed_pi,last_completed_pi,adv_rank_auc,val_rank_auc,adv_rank_final,val_rank_final,adv_rank_max_over_run,val_rank_max_over_run,cross_process_rank_max,pam_order_objective,pam_order_peak_cut_objective,pam_order_rankaware_proxy_objective
HM12_state40_action50_iter30_orderblock_pam_seed0_formal5080,HM12,block_pam,0,ok,False,,13404.985344,0.020194053649902344,470.5646505355835,470.5848445892334,0.52,-221513311.25963226,0.7034954159821153,61,214191982,214191982,7139732.733333333,30,213.5,85.5,24.0,3.0,24.0,3.0,91.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderblock_pam_seed1_formal5080,HM12,block_pam,1,oom,True,OutOfMemoryError,10636.091904,0.021792173385620117,401.38932371139526,401.4111158847809,,,,59,174683952,174683952,6238712.571428572,28,165.0,79.5,7.0,3.0,15.0,3.0,71.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderblock_pam_seed2_formal5080,HM12,block_pam,2,ok,False,,6060.02176,0.019547224044799805,404.3362503051758,404.3557975292206,0.49,-237981726.07073304,0.6712424114158221,61,140736330,140736330,4691211.0,30,193.0,85.5,11.0,3.0,14.0,3.0,61.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderblock_pam_seed3_formal5080,HM12,block_pam,3,ok,False,,13404.68992,0.0184328556060791,459.7647590637207,459.7831919193268,0.54,-255264639.898426,0.7078821828663789,61,204893982,204893982,6829799.4,30,188.5,85.5,32.0,3.0,32.0,3.0,91.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderblock_pam_seed4_formal5080,HM12,block_pam,4,ok,False,,10636.950016,0.01884913444519043,458.82561779022217,458.84446692466736,0.77,-236945094.15603578,0.5404296246230844,61,193506118,193506118,6450203.933333334,30,204.5,85.5,20.0,3.0,20.0,3.0,81.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderblock_pam_seed5_formal5080,HM12,block_pam,5,oom,True,OutOfMemoryError,13405.134848,0.019104957580566406,458.65905952453613,458.6781644821167,,,,61,230400506,230400506,7944845.0344827585,29,180.0,82.5,21.0,3.0,21.0,3.0,91.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderblock_pam_seed6_formal5080,HM12,block_pam,6,oom,True,OutOfMemoryError,10636.481536,0.018912315368652344,377.70522356033325,377.7241358757019,,,,57,152812882,152812882,5659736.37037037,27,162.5,76.5,14.0,3.0,16.0,3.0,71.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderblock_pam_seed7_formal5080,HM12,block_pam,7,ok,False,,10637.73184,0.018625259399414062,429.37223720550537,429.3908624649048,0.53,-200997670.6382576,0.6685940750306913,61,173355230,173355230,5778507.666666667,30,182.0,85.5,13.0,3.0,15.0,3.0,81.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderblock_pam_seed8_formal5080,HM12,block_pam,8,ok,False,,10636.354048,0.0195157527923584,413.4990916252136,413.518607378006,0.56,-218348988.15682045,0.7041243460305137,61,154538638,154538638,5151287.933333334,30,187.5,85.5,14.0,3.0,14.0,3.0,81.0,536.0,30.0,79.52842044305933
HM12_state40_action50_iter30_orderblock_pam_seed9_formal5080,HM12,block_pam,9,oom,True,OutOfMemoryError,13404.861952,0.019838571548461914,444.61101746559143,444.6308560371399,,,,61,216208062,216208062,7455450.413793104,29,173.0,82.5,11.0,3.0,20.0,3.0,91.0,536.0,30.0,79.52842044305933
