env,ordering,runs,ok_runs,oom_runs,oom_rate,peak_memory_mb_mean,peak_memory_mb_median,ttpi_training_time_sec_mean,ttpi_training_time_sec_median,success_rate_mean,success_rate_median,avg_return_mean,avg_return_median,mu_mean,mu_median,queried_points_total_mean,queried_points_total_median,queries_per_completed_pi_mean,queries_per_completed_pi_median,adv_rank_auc_mean,adv_rank_auc_median,adv_rank_max_over_run_mean,adv_rank_max_over_run_median
HM12,block_pam,10,6,4,0.4,11286.3303168,10637.340928000001,431.87272307872774,436.9916273355484,0.5683333333333334,0.535,-228508571.69665086,-229229202.707834,0.6659613426581009,0.6873689136989687,185532768.2,184095035.0,6333948.705674147,6344458.252380952,184.95,184.75,19.1,18.0
HM12,hybrid_pam,10,3,7,0.7,11223.2946688,10638.291968000001,421.01281704902647,446.1308044195175,0.5566666666666666,0.41000000000000003,-217851482.02247626,-219249438.8756866,0.7018614316542114,0.681768487742898,190565554.6,201263723.0,6825824.757509578,7015393.4,178.75,184.5,18.7,18.0
HM12,local,10,7,3,0.3,10669.5346688,10637.271295999999,436.64362013339996,442.70555353164673,0.4714285714285714,0.41000000000000003,-212913344.44544214,-211592109.7407459,0.757639464858271,0.7259555976324441,190556156,189029824.0,6501393.560638569,6415402.066666666,190.05,196.25,17.4,17.0
HM12,rankaware_proxy_pam,10,0,10,1.0,10914.0975616,10636.944383999999,205.7984121799469,205.35511422157288,,,,,,,77568916.6,73437185.0,4645019.041928105,4390017.654901961,73.35,72.0,13.2,11.0
HM12,sensitivity_pam,10,9,1,0.1,9476.5677056,9412.300288,403.86073026657107,405.8394982814789,0.4811111111111111,0.45,-225192864.37477258,-225089821.70579836,0.7244679680369953,0.6828234948783092,148803853.6,149889604.0,4978970.732183908,4996320.133333333,183.05,184.25,14.6,15.0
HM8,block_pam,10,10,0,0.0,2539.7644288,2756.055296,160.72069344520568,160.9111807346344,0.664,0.66,-252786261.49930516,-252604495.6304837,0.7907349872419818,0.7918366132530592,27254724.4,27295892.0,908490.8133333334,909863.0666666667,136.2,136.0,7.3,7.0
HM8,hybrid_pam,10,10,0,0.0,2753.7698304,2756.141312,159.67035899162292,159.75194203853607,0.652,0.645,-251845566.66790769,-251838736.05444574,0.7606576144191504,0.7403922470521418,27814156.8,27680786.0,927138.56,922692.8666666667,135.05,135.0,7.1,7.0
HM8,local,10,10,0,0.0,2806.1961216,2756.1285120000002,165.36407008171082,164.66062998771667,0.557,0.55,-257400196.11810267,-258940348.72431844,0.8017199796866136,0.7887177789247375,29521724.4,29268876.0,984057.48,975629.2,137.75,137.5,7.8,8.0
HM8,rankaware_proxy_pam,10,10,0,0.0,5012.1925632,4741.667584,204.71778764724732,204.44239902496338,0.534,0.55,-362291112.27152634,-338551653.41352195,0.9021475417537046,0.9058039399903588,45155906,44769678.0,1505196.8666666667,1492322.6,190.35,189.75,17.0,16.5
HM8,sensitivity_pam,10,10,0,0.0,2597.1117056,2756.14464,161.18612704277038,161.97885406017303,0.717,0.725,-255297336.65706068,-255083946.389113,0.7345742719332913,0.7346407214432927,28189154,28728522.0,939638.4666666667,957617.4,135.75,136.0,7.2,7.0
