run_id,env,ordering,seed,status,oom,error_type,peak_memory_mb,ordering_search_time_sec,ttpi_training_time_sec,total_time_sec,success_rate,avg_return,mu,tt_cross_calls,tt_cross_function_evals,queried_points_total,queries_per_completed_pi,last_completed_pi,adv_rank_auc,val_rank_auc,adv_rank_final,val_rank_final,adv_rank_max_over_run,val_rank_max_over_run,cross_process_rank_max,pam_order_objective,pam_order_peak_cut_objective,pam_order_rankaware_proxy_objective
HM8_state40_action50_iter30_orderblock_pam_seed0_formal5080,HM8,block_pam,0,ok,False,,2425.35936,0.0063817501068115234,164.46805834770203,164.47444009780884,0.6,-253803987.69345254,0.8915235708763183,61,27164078,27164078,905469.2666666667,30,137.0,85.5,7.0,3.0,8.0,3.0,31.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed1_formal5080,HM8,block_pam,1,ok,False,,2756.16,0.0063631534576416016,159.09153699874878,159.09790015220642,0.8,-253290245.3418692,0.6894974923070688,61,26056002,26056002,868533.4,30,137.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed2_formal5080,HM8,block_pam,2,ok,False,,2756.063744,0.006097078323364258,162.73082447052002,162.73692154884338,0.4,-265249081.14991882,0.6591083211495429,61,26415386,26415386,880512.8666666667,30,133.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed3_formal5080,HM8,block_pam,3,ok,False,,2213.583872,0.007010459899902344,163.61546182632446,163.62247228622437,0.77,-251918745.91909814,0.8998956533769323,61,27670238,27670238,922341.2666666667,30,138.0,85.5,7.0,3.0,7.0,3.0,31.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed4_formal5080,HM8,block_pam,4,ok,False,,2008.927232,0.006349325180053711,163.56751132011414,163.5738606452942,0.52,-273754722.4588263,0.6789211202559982,61,27164078,27164078,905469.2666666667,30,135.0,85.5,7.0,3.0,7.0,3.0,31.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed5_formal5080,HM8,block_pam,5,ok,False,,2212.976128,0.006185054779052734,153.15120935440063,153.1573944091797,0.65,-253319650.8301659,0.7302210025924637,61,25792374,25792374,859745.8,30,135.0,85.5,7.0,3.0,7.0,3.0,31.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed6_formal5080,HM8,block_pam,6,ok,False,,2756.166144,0.006119966506958008,155.3561818599701,155.36230182647705,0.76,-245778632.36882684,0.9152163588627584,61,27427706,27427706,914256.8666666667,30,136.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed7_formal5080,HM8,block_pam,7,ok,False,,2756.1728,0.006592988967895508,158.67452311515808,158.68111610412598,0.59,-241414489.30628,0.8313436104742731,61,27933866,27933866,931128.8666666667,30,139.0,85.5,9.0,3.0,9.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed8_formal5080,HM8,block_pam,8,ok,False,,2756.046848,0.006301403045654297,155.1683006286621,155.17460203170776,0.88,-242919571.11992195,0.8592931264926165,61,27427706,27427706,914256.8666666667,30,136.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderblock_pam_seed9_formal5080,HM8,block_pam,9,ok,False,,2756.18816,0.00635838508605957,171.38332653045654,171.3896849155426,0.67,-246413488.80469203,0.7523296160318452,61,29495810,29495810,983193.6666666666,30,136.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,HM8,sensitivity_pam,0,ok,False,,2756.164608,0.006214141845703125,161.3716812133789,161.3778953552246,0.72,-245919314.35239786,0.7978917035700713,61,27434376,27434376,914479.2,30,139.0,85.5,7.0,3.0,8.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_ordersensitivity_pam_seed1_formal5080,HM8,sensitivity_pam,1,ok,False,,2756.138496,0.006314754486083984,162.33637070655823,162.3426854610443,0.92,-247898829.3845271,0.7495159708502708,61,28297140,28297140,943238.0,30,134.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_ordersensitivity_pam_seed2_formal5080,HM8,sensitivity_pam,2,ok,False,,2756.176384,0.006371259689331055,167.03849625587463,167.04486751556396,0.59,-263814343.153511,0.653945026530069,61,30173384,30173384,1005779.4666666667,30,136.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_ordersensitivity_pam_seed3_formal5080,HM8,sensitivity_pam,3,ok,False,,2756.169728,0.006338596343994141,164.9334626197815,164.9398012161255,0.5,-254629339.72644806,0.5395727192864735,61,29235262,29235262,974508.7333333333,30,135.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_ordersensitivity_pam_seed4_formal5080,HM8,sensitivity_pam,4,ok,False,,2756.150784,0.006571769714355469,167.12237644195557,167.12894821166992,0.73,-273849164.5643378,0.889858397291291,61,31111506,31111506,1037050.2,30,136.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_ordersensitivity_pam_seed5_formal5080,HM8,sensitivity_pam,5,ok,False,,2437.476352,0.006386995315551758,149.37217903137207,149.37856602668762,0.81,-255538553.05177793,0.6710706903693748,61,22984108,22984108,766136.9333333333,30,136.5,85.5,8.0,3.0,8.0,3.0,31.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_ordersensitivity_pam_seed6_formal5080,HM8,sensitivity_pam,6,ok,False,,2756.033536,0.006400346755981445,161.62133741378784,161.62773776054382,0.6900000000000001,-261794958.66650432,0.8998693881816265,61,29159904,29159904,971996.8,30,137.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_ordersensitivity_pam_seed7_formal5080,HM8,sensitivity_pam,7,ok,False,,2013.603328,0.006177663803100586,154.63831210136414,154.64448976516724,0.8200000000000001,-232013964.58783036,0.7478346401565722,61,24784994,24784994,826166.4666666667,30,134.0,85.5,7.0,3.0,7.0,3.0,31.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_ordersensitivity_pam_seed8_formal5080,HM8,sensitivity_pam,8,ok,False,,2757.091328,0.007020235061645508,164.55045342445374,164.55747365951538,0.54,-273325760.47318125,0.6747373803671503,61,31542888,31542888,1051429.6,30,134.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_ordersensitivity_pam_seed9_formal5080,HM8,sensitivity_pam,9,ok,False,,2226.112512,0.006743192672729492,158.87660121917725,158.88334441184998,0.85,-244189138.6100912,0.7214468027300133,61,27167978,27167978,905599.2666666667,30,136.0,85.5,7.0,3.0,7.0,3.0,31.0,336.0,30.0,53.6882932872699
