task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,1,reward_fcn,after_cross_before_round,1.940783904865384,9.422848,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,1,reward_fcn,after_round,2.0177266262471676,8.586752,322866,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.4285714285714284,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,2,bellman_operator,after_cross_before_round,4.542272779159248,9.10848,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,2,bellman_operator,after_round,4.545042125508189,9.02656,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,3,get_advantage_from_value,after_cross_before_round,1.9528267942368984,9.915904,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,3,get_advantage_from_value,after_round,1.9918147483840585,9.049088,322866,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,4,bellman_operator,after_cross_before_round,3.879264351911843,8.963072,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,4,bellman_operator,after_round,3.8832667069509625,8.881152,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,5,get_advantage_from_value,after_cross_before_round,2.062140421010554,9.768448,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,5,get_advantage_from_value,after_round,2.106630309484899,8.901632,322866,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,6,bellman_operator,after_cross_before_round,3.9094491163268685,8.963072,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,6,bellman_operator,after_round,3.9130706265568733,8.885248,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,7,get_advantage_from_value,after_cross_before_round,1.9422243228182197,9.77664,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,7,get_advantage_from_value,after_round,1.980884650722146,8.909824,322866,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,8,bellman_operator,after_cross_before_round,3.763438264839351,8.971264,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,8,bellman_operator,after_round,3.7672127885743976,8.89344,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,9,get_advantage_from_value,after_cross_before_round,1.9598836554214358,9.77664,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,9,get_advantage_from_value,after_round,1.9999886509031057,8.909824,322866,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,10,bellman_operator,after_cross_before_round,3.8482196740806103,8.971264,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,10,bellman_operator,after_round,3.852222784422338,8.89344,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,11,get_advantage_from_value,after_cross_before_round,2.0051379362121224,9.77664,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,11,get_advantage_from_value,after_round,2.052137527614832,8.918528,322866,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.457142857142857,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,12,bellman_operator,after_cross_before_round,4.018402988091111,9.010688,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,12,bellman_operator,after_round,4.023657641373575,8.932864,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,13,get_advantage_from_value,after_cross_before_round,1.9615961778908968,9.816064,322866,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.742857142857142,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,13,get_advantage_from_value,after_round,2.0040700109675527,9.012224,322866,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 2, 2]",4,3.1142857142857143,3,3,3,3,4,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,2,3,2,3,2,3,2,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,14,bellman_operator,after_cross_before_round,4.61637186165899,9.256448,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,14,bellman_operator,after_round,4.621636027470231,9.178624,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,15,get_advantage_from_value,after_cross_before_round,5.243556985631585,12.377088,1122550,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 2]",21,20.457142857142856,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed6_formal5080,6,HM16,rankaware_proxy_pam,15,get_advantage_from_value,after_round,5.30803413130343,9.260032,1122550,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 3, 2, 3, 2, 2]",4,3.1714285714285713,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,3,2,3,2,2
