task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,1,reward_fcn,after_cross_before_round,0.7222487116232514,9.017344,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,1,reward_fcn,after_round,0.7829663679003716,8.562176,221362,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,2,bellman_operator,after_cross_before_round,2.2041488271206617,8.887296,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,2,bellman_operator,after_round,2.2099841134622693,8.805376,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,3,get_advantage_from_value,after_cross_before_round,0.5903012789785862,9.289216,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,3,get_advantage_from_value,after_round,0.6159454416483641,8.819712,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,4,bellman_operator,after_cross_before_round,1.9955353271216154,8.823808,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,4,bellman_operator,after_round,2.0026091197505593,8.741888,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,5,get_advantage_from_value,after_cross_before_round,0.5775609547272325,9.22368,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,5,get_advantage_from_value,after_round,0.6005794163793325,8.754176,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,6,bellman_operator,after_cross_before_round,1.8111676024273038,8.823808,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,6,bellman_operator,after_round,1.8171420702710748,8.745984,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,7,get_advantage_from_value,after_cross_before_round,0.6331090750172734,9.231872,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,7,get_advantage_from_value,after_round,0.659488090313971,8.762368,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,8,bellman_operator,after_cross_before_round,1.9222371010109782,8.832,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,8,bellman_operator,after_round,1.927102429792285,8.754176,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,9,get_advantage_from_value,after_cross_before_round,0.5902384789660573,9.231872,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,9,get_advantage_from_value,after_round,0.6158663276582956,8.762368,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,10,bellman_operator,after_cross_before_round,1.9581734761595726,8.832,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,10,bellman_operator,after_round,1.961986642330885,8.754176,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,11,get_advantage_from_value,after_cross_before_round,0.5720118414610624,9.231872,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,11,get_advantage_from_value,after_round,0.6000278536230326,8.762368,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,12,bellman_operator,after_cross_before_round,1.9786233231425285,8.832,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,12,bellman_operator,after_round,1.983736651018262,8.754176,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,13,get_advantage_from_value,after_cross_before_round,0.7300882190465927,9.231872,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,13,get_advantage_from_value,after_round,0.7576224850490689,8.777216,221362,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2]",3,2.210526315789474,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,14,bellman_operator,after_cross_before_round,2.2406525146216154,8.896,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,14,bellman_operator,after_round,2.2495641950517893,8.818176,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,15,get_advantage_from_value,after_cross_before_round,0.7655557570978999,9.295872,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,15,get_advantage_from_value,after_round,0.7976956246420741,8.859648,221362,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,16,bellman_operator,after_cross_before_round,2.2931563276797533,8.980992,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,16,bellman_operator,after_round,2.30185869615525,8.903168,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,17,get_advantage_from_value,after_cross_before_round,0.6026618424803019,9.380864,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,17,get_advantage_from_value,after_round,0.6325486982241273,8.94464,221362,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,18,bellman_operator,after_cross_before_round,2.274191808886826,8.980992,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,18,bellman_operator,after_round,2.2842090371996164,8.903168,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,19,get_advantage_from_value,after_cross_before_round,0.616700142621994,9.380864,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,19,get_advantage_from_value,after_round,0.6454934934154153,8.94464,221362,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,20,bellman_operator,after_cross_before_round,2.3126343600451946,8.980992,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,20,bellman_operator,after_round,2.3175668455660343,8.903168,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,21,get_advantage_from_value,after_cross_before_round,2.348643232136965,10.631168,654134,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 2]",21,20.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,21,get_advantage_from_value,after_round,2.386188358068466,8.94464,654134,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,22,bellman_operator,after_cross_before_round,2.296529032289982,8.980992,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,22,bellman_operator,after_round,2.301850994117558,8.903168,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,23,get_advantage_from_value,after_cross_before_round,0.6772466767579317,9.380864,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,23,get_advantage_from_value,after_round,0.7027993788942695,8.94464,221362,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed2_formal5080,2,HM8_actuator_relabelled,block_pam,24,bellman_operator,after_cross_before_round,2.3576593697071075,8.980992,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
