task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,1,reward_fcn,after_cross_before_round,0.7143028089776635,9.014272,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,1,reward_fcn,after_round,0.7723147720098495,8.618496,220144,"[2, 2, 2, 2, 3, 4, 5, 6, 7, 8, 7, 6, 7, 7, 6, 5, 4, 3, 2]",8,4.631578947368421,2,2,2,2,3,4,5,6,7,8,7,6,7,7,6,5,4,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,2,bellman_operator,after_cross_before_round,2.5537650249898434,9.124352,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,2,bellman_operator,after_round,2.556425587274134,9.042432,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,3,get_advantage_from_value,after_cross_before_round,0.5777637204155326,9.5232,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,3,get_advantage_from_value,after_round,0.6036891294643283,9.056768,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,4,bellman_operator,after_cross_before_round,1.9435805343091488,8.889344,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,4,bellman_operator,after_round,1.9536358518525958,8.807424,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,5,get_advantage_from_value,after_cross_before_round,0.5972867421805859,9.286144,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,5,get_advantage_from_value,after_round,0.6336425887420774,8.819712,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,6,bellman_operator,after_cross_before_round,1.8677829429507256,8.889344,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,6,bellman_operator,after_round,1.8745157979428768,8.81152,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,7,get_advantage_from_value,after_cross_before_round,0.6209298735484481,9.294336,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,7,get_advantage_from_value,after_round,0.6446508411318064,8.827904,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,8,bellman_operator,after_cross_before_round,1.796832600608468,8.897536,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,8,bellman_operator,after_round,1.8063285388052464,8.819712,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,9,get_advantage_from_value,after_cross_before_round,0.6517470460385084,9.294336,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,9,get_advantage_from_value,after_round,0.6819548979401588,8.827904,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,10,bellman_operator,after_cross_before_round,1.8766889609396458,8.897536,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,10,bellman_operator,after_round,1.8820677725598216,8.819712,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,11,get_advantage_from_value,after_cross_before_round,0.5972972540184855,9.294336,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,11,get_advantage_from_value,after_round,0.6220173686742783,8.827904,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,12,bellman_operator,after_cross_before_round,1.936210890300572,8.897536,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,12,bellman_operator,after_round,1.9397790310904384,8.819712,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080,1,HM8_actuator_relabelled,random,13,get_advantage_from_value,after_cross_before_round,0.5737380841746926,9.294336,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
