task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,1,reward_fcn,after_cross_before_round,0.6746604489162564,9.053184,230322,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 4, 2]",11,10.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,1,reward_fcn,after_round,0.7302859202027321,8.64768,230322,"[2, 2, 2, 2, 3, 4, 4, 5, 6, 7, 8, 9, 8, 7, 6, 5, 4, 3, 2]",9,4.684210526315789,2,2,2,2,3,4,4,5,6,7,8,9,8,7,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,2,bellman_operator,after_cross_before_round,3.056548052467406,9.399808,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,2,bellman_operator,after_round,3.0594907738268375,9.317888,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,3,get_advantage_from_value,after_cross_before_round,0.597028355114162,9.837568,230322,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 4, 2]",11,10.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,3,get_advantage_from_value,after_round,0.6286588115617633,9.332224,230322,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,4,bellman_operator,after_cross_before_round,1.983739510178566,8.997888,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,4,bellman_operator,after_round,1.9876665892079473,8.915968,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,5,get_advantage_from_value,after_cross_before_round,0.5796939134597778,9.4336,230322,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 4, 2]",11,10.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,5,get_advantage_from_value,after_round,0.6103664105758071,8.928256,230322,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,6,bellman_operator,after_cross_before_round,1.8890445744618773,8.997888,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,6,bellman_operator,after_round,1.893792669288814,8.920064,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,7,get_advantage_from_value,after_cross_before_round,0.5977837666869164,9.441792,230322,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 4, 2]",11,10.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,7,get_advantage_from_value,after_round,0.6280262358486652,8.936448,230322,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,8,bellman_operator,after_cross_before_round,1.9812967590987682,9.00608,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,8,bellman_operator,after_round,1.9877853756770492,8.928256,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,9,get_advantage_from_value,after_cross_before_round,0.5827297577634454,9.441792,230322,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 4, 2]",11,10.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,9,get_advantage_from_value,after_round,0.6111991908401251,8.936448,230322,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,10,bellman_operator,after_cross_before_round,1.9586972827091813,9.00608,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,10,bellman_operator,after_round,1.9632568452507257,8.928256,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,11,get_advantage_from_value,after_cross_before_round,0.5597055768594146,9.441792,230322,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 4, 2]",11,10.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,11,get_advantage_from_value,after_round,0.5931976065039635,8.952832,230322,"[3, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]",4,1.894736842105263,3,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,12,bellman_operator,after_cross_before_round,2.35108698066324,9.07776,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,12,bellman_operator,after_round,2.3563717771321535,8.999936,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,13,get_advantage_from_value,after_cross_before_round,0.6378820603713393,9.513472,230322,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 4, 2]",11,10.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,13,get_advantage_from_value,after_round,0.6637954227626324,9.037312,230322,"[3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2]",3,2.6842105263157894,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,14,bellman_operator,after_cross_before_round,2.3733377223834395,9.137664,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,14,bellman_operator,after_round,2.3791192695498466,9.05984,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,15,get_advantage_from_value,after_cross_before_round,0.6140565350651741,9.573376,230322,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 4, 2]",11,10.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,15,get_advantage_from_value,after_round,0.6482075620442629,9.151488,230322,"[3, 3, 3, 3, 3, 4, 4, 5, 6, 6, 6, 7, 7, 6, 6, 5, 4, 3, 2]",7,4.526315789473684,3,3,3,3,3,4,4,5,6,6,6,7,7,6,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,16,bellman_operator,after_cross_before_round,2.9643859304487705,9.3568,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,16,bellman_operator,after_round,2.971603784710169,9.278976,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,17,get_advantage_from_value,after_cross_before_round,2.142075057141483,11.146752,697954,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 16, 8, 4, 2]",21,18.157894736842106,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,17,get_advantage_from_value,after_round,2.1833067536354065,9.425408,697954,"[3, 3, 3, 3, 4, 5, 5, 6, 7, 8, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.2631578947368425,3,3,3,3,4,5,5,6,7,8,9,9,8,7,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,18,bellman_operator,after_cross_before_round,3.324590977281332,9.55904,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,18,bellman_operator,after_round,3.32988238055259,9.481216,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,19,get_advantage_from_value,after_cross_before_round,0.5960076339542866,9.994752,230322,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 4, 2]",11,10.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,19,get_advantage_from_value,after_round,0.6216778624802828,9.650176,230322,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.473684210526316,3,3,3,3,4,5,6,7,8,9,9,9,8,7,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,20,bellman_operator,after_cross_before_round,3.4845009548589587,9.638912,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,20,bellman_operator,after_round,3.4903139928355813,9.561088,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,21,get_advantage_from_value,after_cross_before_round,2.455448835156858,11.428864,697954,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 16, 8, 4, 2]",21,18.157894736842106,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,21,get_advantage_from_value,after_round,2.4935943549498916,9.736704,697954,"[3, 4, 4, 4, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.631578947368421,3,4,4,4,4,5,6,7,8,9,9,9,8,7,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,22,bellman_operator,after_cross_before_round,3.312480608932674,9.668096,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,22,bellman_operator,after_round,3.323784716427326,9.590272,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,23,get_advantage_from_value,after_cross_before_round,10.746575510129333,25.529856,9987926,"[40, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 32, 16, 8, 4, 2]",61,47.10526315789474,40,61,61,61,61,61,61,61,61,61,61,61,61,61,32,16,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,23,get_advantage_from_value,after_round,10.88536954857409,9.764864,9987926,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 10, 10, 9, 8, 6, 5, 3, 2]",10,5.947368421052632,3,3,3,3,4,5,6,7,8,9,9,10,10,9,8,6,5,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,24,bellman_operator,after_cross_before_round,3.4469663109630346,9.65888,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,24,bellman_operator,after_round,3.4525224836543202,9.581056,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,25,get_advantage_from_value,after_cross_before_round,2.5700220838189125,11.448832,697954,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 16, 8, 4, 2]",21,18.157894736842106,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,8,4,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,25,get_advantage_from_value,after_round,2.610081466846168,9.750016,697954,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.473684210526316,3,3,3,3,4,5,6,7,8,9,9,9,8,7,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,26,bellman_operator,after_cross_before_round,3.4634874761104584,9.638912,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,26,bellman_operator,after_round,3.468919064849615,9.561088,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
