task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,1,reward_fcn,after_cross_before_round,0.6869808631017804,9.014272,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,1,reward_fcn,after_round,0.7445117486640811,8.561152,220144,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,2,bellman_operator,after_cross_before_round,2.3861277056857944,8.881152,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,2,bellman_operator,after_round,2.389049987308681,8.799232,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,3,get_advantage_from_value,after_cross_before_round,0.5532148415222764,9.28,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,3,get_advantage_from_value,after_round,0.5794672910124063,8.813568,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,4,bellman_operator,after_cross_before_round,2.110351122915745,8.819712,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,4,bellman_operator,after_round,2.1182035924866796,8.737792,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,5,get_advantage_from_value,after_cross_before_round,0.6384957516565919,9.216512,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,5,get_advantage_from_value,after_round,0.6641876604408026,8.75008,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,6,bellman_operator,after_cross_before_round,2.147058457136154,8.819712,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,6,bellman_operator,after_round,2.1510043293237686,8.741888,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,7,get_advantage_from_value,after_cross_before_round,0.7162298811599612,9.224704,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,7,get_advantage_from_value,after_round,0.7417915165424347,8.758272,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,8,bellman_operator,after_cross_before_round,2.080999760888517,8.827904,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,8,bellman_operator,after_round,2.0854464396834373,8.75008,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM8,flip_within_block,9,get_advantage_from_value,after_cross_before_round,0.6912075281143188,9.224704,220144,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
