task_name,seed,env,ordering,call_index,function_name,domain_dim,domain_sizes_json,max_batch,rmax,nswp,eps,kickrank,elapsed_sec,memory_mb_start,memory_mb_end,function_eval_requests,queried_points,rank_profile_json,rank_max,rank_mean
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,1,reward_fcn,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.0001,10,0.7886594831943512,0.0128,8.65792,230322,230322,"[2, 2, 2, 2, 3, 4, 4, 5, 6, 7, 8, 9, 8, 7, 6, 5, 4, 3, 2]",9,4.684210526315789
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,2,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.902292175218463,9.314816,9.319936,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,3,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.644588764756918,9.316864,9.342464,230322,230322,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,4,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.063939149491489,8.912896,8.918016,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,5,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.6500301128253341,8.912896,8.938496,230322,230322,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,6,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.0222427900880575,8.912896,8.922112,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,7,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.6406106390058994,8.921088,8.946688,230322,230322,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,8,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.9551571495831013,8.921088,8.930304,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,9,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.5824925322085619,8.921088,8.946688,230322,230322,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,10,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.922080378048122,8.921088,8.930304,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,11,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.6126063177362084,8.921088,8.946688,230322,230322,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,12,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.9808979192748666,8.921088,8.930304,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,13,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.6381158540025353,8.921088,8.961024,230322,230322,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]",3,2.1052631578947367
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,14,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.2350832745432854,8.984576,8.993792,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,15,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.605275010690093,8.984576,9.08288,230322,230322,"[3, 3, 3, 3, 3, 3, 4, 4, 5, 6, 6, 7, 7, 7, 6, 5, 4, 3, 2]",7,4.421052631578948
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,16,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.814726891927421,9.23136,9.240576,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,17,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.6387648517265916,9.23136,9.388544,230322,230322,"[3, 3, 3, 3, 4, 5, 6, 6, 7, 8, 8, 8, 7, 7, 6, 5, 4, 3, 2]",8,5.157894736842105
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,18,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.1585461935028434,9.45408,9.463296,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,19,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.646771396510303,9.45408,9.640448,230322,230322,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.473684210526316
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,20,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.2888165274634957,9.55392,9.563136,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,21,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.669836868532002,9.55392,9.740288,230322,230322,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.473684210526316
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,22,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.234646658413112,9.55392,9.563136,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,23,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,4.282431471161544,9.55392,9.746432,1714066,1714066,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 10, 10, 10, 8, 6, 4, 3, 2]",10,5.947368421052632
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,24,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.322195988148451,9.5744,9.583616,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,25,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 50, 50, 2, 2, 2, 2, 2, 2, 2, 2]",100002,100,10,0.001,10,0.6197018101811409,9.5744,9.760768,230322,230322,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.473684210526316
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed2_formal5080,2,HM8_actuator_relabelled,badsplit,26,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.354955608956516,9.55392,9.563136,120960,120960,"[3, 3, 2]",3,2.6666666666666665
