task_name,seed,env,ordering,call_index,function_name,domain_dim,domain_sizes_json,max_batch,rmax,nswp,eps,kickrank,elapsed_sec,memory_mb_start,memory_mb_end,function_eval_requests,queried_points,rank_profile_json,rank_max,rank_mean
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,1,reward_fcn,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.0001,10,0.7386144632473588,0.0128,8.571392,220144,220144,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,2,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.2070629242807627,8.79616,8.80128,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,3,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6141332015395164,8.798208,8.823808,220144,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,4,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.9643981121480465,8.73472,8.73984,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,5,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6244342168793082,8.73472,8.76032,220144,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,6,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.9526589633896947,8.73472,8.743936,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,7,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6019796123728156,8.742912,8.768512,220144,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,8,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.956908706575632,8.742912,8.752128,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,9,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6505704894661903,8.742912,8.768512,220144,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,10,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.856366278603673,8.742912,8.752128,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,11,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6368247848004103,8.742912,8.768512,220144,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,12,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.8712805770337582,8.742912,8.752128,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,13,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6291447356343269,8.742912,8.780288,220144,220144,"[3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,2.1052631578947367
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,14,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.1389518911018968,8.7936,8.802816,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,15,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6737832482904196,8.7936,8.854016,220144,220144,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,16,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.336088314652443,8.900608,8.909824,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,17,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6848917556926608,8.900608,8.961024,220144,220144,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,18,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.2868406996130943,8.900608,8.909824,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,19,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6502423798665404,8.900608,8.961024,220144,220144,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,20,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.3367041517049074,8.900608,8.909824,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,21,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6002539042383432,8.900608,8.961024,220144,220144,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,22,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.3714990420266986,8.900608,8.909824,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,23,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,2.2463497892022133,8.900608,8.961024,651526,651526,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,24,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.3524113688617945,8.900608,8.909824,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,25,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6717085316777229,8.900608,8.961024,220144,220144,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,26,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.334081335924566,8.900608,8.909824,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080,0,HM8_actuator_relabelled,sensitivity_pam,27,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.63271080609411,8.900608,8.961024,220144,220144,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474
