task_name,seed,env,ordering,call_index,function_name,domain_dim,domain_sizes_json,max_batch,rmax,nswp,eps,kickrank,function_eval_requests,queried_points,rank_profile_json,rank_max
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,1,reward_fcn,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.0001,10,221362,221362,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,2,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[2, 1, 1]",2
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,3,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,4,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[2, 1, 1]",2
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,5,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,6,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,7,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,8,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,9,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,10,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,11,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,12,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,13,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,14,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
