task_name,seed,env,ordering,event_index,model,iteration,stage,memory_mb,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,1,advantage,1,after_compute,8.901632,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1851851851851851,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,2,advantage,1,after_compute,8.818688,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1851851851851851,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,3,advantage,1,after_compute,8.82688,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1851851851851851,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,4,advantage,1,after_compute,8.82688,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1851851851851851,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,5,advantage,1,after_compute,8.845824,"[3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2]",3,2.1481481481481484,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,6,advantage,1,after_compute,8.9344,"[3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2]",4,2.962962962962963,3,3,3,3,4,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,2,3,2,2,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,7,advantage,1,after_compute,9.023488,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 2, 3, 2, 2]",4,3.185185185185185,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,2,3,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,8,advantage,1,after_compute,9.048064,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.2222222222222223,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,9,advantage,1,after_compute,9.053696,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 2, 2]",4,3.259259259259259,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,10,advantage,1,after_compute,9.058816,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.2962962962962963,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,11,advantage,1,after_compute,9.06496,"[3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.3333333333333335,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,12,advantage,1,after_compute,9.11616,"[3, 4, 4, 4, 5, 4, 5, 4, 5, 4, 5, 4, 6, 4, 5, 4, 6, 5, 6, 4, 6, 4, 6, 4, 4, 2, 2]",6,4.407407407407407,3,4,4,4,5,4,5,4,5,4,5,4,6,4,5,4,6,5,6,4,6,4,6,4,4,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,13,advantage,1,after_compute,9.259008,"[3, 5, 5, 4, 5, 5, 6, 5, 6, 5, 6, 5, 5, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",6,4.111111111111111,3,5,5,4,5,5,6,5,6,5,6,5,5,4,4,3,4,3,4,3,4,3,4,3,3,2,2
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,14,advantage,1,after_compute,9.255424,"[4, 5, 4, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 6, 5, 6, 5, 7, 5, 7, 5, 6, 3, 3]",7,4.777777777777778,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,6,5,6,5,7,5,7,5,6,3,3
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,15,advantage,1,after_compute,9.394688,"[4, 5, 4, 4, 6, 5, 7, 5, 7, 5, 7, 5, 7, 5, 7, 5, 6, 6, 8, 6, 9, 6, 8, 5, 6, 3, 3]",9,5.703703703703703,4,5,4,4,6,5,7,5,7,5,7,5,7,5,7,5,6,6,8,6,9,6,8,5,6,3,3
HM12_state40_action50_iter30_orderflip_within_block_seed7_formal5080,7,HM12,flip_within_block,16,advantage,1,after_compute,9.875968,"[4, 6, 5, 5, 7, 6, 9, 8, 11, 9, 14, 12, 16, 11, 14, 10, 13, 10, 13, 8, 14, 8, 12, 8, 10, 4, 4]",16,9.296296296296296,4,6,5,5,7,6,9,8,11,9,14,12,16,11,14,10,13,10,13,8,14,8,12,8,10,4,4
