task_name,seed,env,ordering,event_index,model,iteration,stage,memory_mb,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,1,advantage,1,after_compute,9.227264,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,2,advantage,1,after_compute,8.923136,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,3,advantage,1,after_compute,8.931328,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,4,advantage,1,after_compute,8.931328,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,5,advantage,1,after_compute,8.947712,"[3, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]",4,1.894736842105263,3,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,6,advantage,1,after_compute,9.015808,"[3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2]",3,2.6842105263157894,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,7,advantage,1,after_compute,9.117184,"[3, 3, 3, 3, 3, 4, 4, 5, 6, 6, 6, 7, 7, 6, 6, 5, 4, 3, 2]",7,4.526315789473684,3,3,3,3,3,4,4,5,6,6,6,7,7,6,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,8,advantage,1,after_compute,9.336832,"[3, 3, 3, 3, 4, 5, 5, 6, 7, 8, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.2631578947368425,3,3,3,3,4,5,5,6,7,8,9,9,8,7,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,9,advantage,1,after_compute,9.506816,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.473684210526316,3,3,3,3,4,5,6,7,8,9,9,9,8,7,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,10,advantage,1,after_compute,9.570816,"[3, 4, 4, 4, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.631578947368421,3,4,4,4,4,5,6,7,8,9,9,9,8,7,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,11,advantage,1,after_compute,9.59232,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 10, 10, 9, 8, 6, 5, 3, 2]",10,5.947368421052632,3,3,3,3,4,5,6,7,8,9,9,10,10,9,8,6,5,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,12,advantage,1,after_compute,9.578496,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.473684210526316,3,3,3,3,4,5,6,7,8,9,9,9,8,7,6,5,4,3,2
HM8_state40_action50_iter30_orderbadsplit_seed5_formal5080,5,HM8,badsplit,13,advantage,1,after_compute,9.65632,"[3, 3, 3, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16, 15, 13, 9, 6, 4, 2]",16,7.7368421052631575,3,3,3,3,4,5,6,8,10,11,12,14,16,15,13,9,6,4,2
