task_name,seed,env,ordering,event_index,model,iteration,stage,memory_mb,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,1,advantage,1,after_compute,8.795136,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,2,advantage,1,after_compute,8.74496,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,3,advantage,1,after_compute,8.753152,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,4,advantage,1,after_compute,8.753152,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,5,advantage,1,after_compute,8.761856,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]",3,1.8421052631578947,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,6,advantage,1,after_compute,8.80896,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2]",3,2.789473684210526,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,7,advantage,1,after_compute,8.868864,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2]",4,3.0,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,2,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,8,advantage,1,after_compute,8.887808,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 2, 2]",4,3.1578947368421053,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,3,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,9,advantage,1,after_compute,8.90112,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,10,advantage,1,after_compute,8.905216,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,11,advantage,1,after_compute,8.905216,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,12,advantage,1,after_compute,8.905216,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,13,advantage,1,after_compute,8.909312,"[3, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.3157894736842106,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,14,advantage,1,after_compute,8.925184,"[3, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",5,3.3684210526315788,3,5,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,15,advantage,1,after_compute,8.9344,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",5,3.4210526315789473,4,5,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,16,advantage,1,after_compute,8.963584,"[4, 5, 4, 3, 4, 3, 5, 4, 5, 4, 6, 4, 6, 4, 6, 4, 5, 3, 3]",6,4.315789473684211,4,5,4,3,4,3,5,4,5,4,6,4,6,4,6,4,5,3,3
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,17,advantage,1,after_compute,9.019392,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",5,3.4210526315789473,4,5,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,18,advantage,1,after_compute,8.93952,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",5,3.4210526315789473,4,5,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,19,advantage,1,after_compute,9.010176,"[4, 5, 6, 5, 6, 5, 6, 5, 7, 6, 7, 5, 7, 5, 8, 5, 5, 3, 3]",8,5.421052631578948,4,5,6,5,6,5,6,5,7,6,7,5,7,5,8,5,5,3,3
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,20,advantage,1,after_compute,9.276416,"[4, 5, 6, 5, 8, 6, 9, 6, 8, 7, 11, 7, 10, 7, 10, 5, 5, 3, 4]",11,6.631578947368421,4,5,6,5,8,6,9,6,8,7,11,7,10,7,10,5,5,3,4
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,21,advantage,1,after_compute,9.409024,"[4, 5, 7, 6, 8, 6, 9, 6, 8, 7, 9, 5, 7, 5, 9, 5, 5, 3, 3]",9,6.157894736842105,4,5,7,6,8,6,9,6,8,7,9,5,7,5,9,5,5,3,3
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,22,advantage,1,after_compute,9.452544,"[4, 5, 8, 7, 9, 7, 11, 7, 10, 8, 13, 8, 11, 8, 13, 7, 8, 4, 5]",13,8.052631578947368,4,5,8,7,9,7,11,7,10,8,13,8,11,8,13,7,8,4,5
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,23,advantage,1,after_compute,9.669632,"[4, 5, 7, 6, 9, 7, 10, 7, 9, 8, 11, 7, 9, 7, 10, 6, 6, 3, 4]",11,7.105263157894737,4,5,7,6,9,7,10,7,9,8,11,7,9,7,10,6,6,3,4
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,24,advantage,1,after_compute,9.550848,"[4, 5, 8, 7, 9, 7, 10, 7, 10, 8, 12, 7, 10, 7, 11, 6, 6, 3, 4]",12,7.421052631578948,4,5,8,7,9,7,10,7,10,8,12,7,10,7,11,6,6,3,4
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,25,advantage,1,after_compute,9.655296,"[4, 6, 8, 7, 9, 8, 12, 8, 12, 9, 13, 8, 10, 8, 13, 7, 8, 4, 5]",13,8.368421052631579,4,6,8,7,9,8,12,8,12,9,13,8,10,8,13,7,8,4,5
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,26,advantage,1,after_compute,9.870848,"[5, 6, 8, 7, 10, 8, 13, 9, 13, 10, 15, 9, 12, 9, 15, 8, 10, 5, 5]",15,9.31578947368421,5,6,8,7,10,8,13,9,13,10,15,9,12,9,15,8,10,5,5
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,27,advantage,1,after_compute,9.954304,"[5, 6, 7, 6, 9, 8, 12, 8, 11, 8, 13, 8, 10, 8, 13, 7, 8, 4, 4]",13,8.157894736842104,5,6,7,6,9,8,12,8,11,8,13,8,10,8,13,7,8,4,4
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,28,advantage,1,after_compute,9.913344,"[5, 6, 8, 7, 10, 9, 15, 11, 16, 12, 17, 10, 13, 10, 16, 8, 10, 5, 5]",17,10.157894736842104,5,6,8,7,10,9,15,11,16,12,17,10,13,10,16,8,10,5,5
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,29,advantage,1,after_compute,10.21184,"[5, 6, 7, 6, 8, 7, 12, 9, 13, 9, 15, 9, 12, 10, 17, 9, 11, 5, 6]",17,9.263157894736842,5,6,7,6,8,7,12,9,13,9,15,9,12,10,17,9,11,5,6
HM8_state40_action50_iter30_orderflip_within_block_seed0_formal5080,0,HM8,flip_within_block,30,advantage,1,after_compute,10.300928,"[5, 7, 9, 9, 12, 10, 17, 12, 18, 14, 21, 12, 17, 13, 22, 11, 13, 6, 7]",22,12.368421052631579,5,7,9,9,12,10,17,12,18,14,21,12,17,13,22,11,13,6,7
