env,ordering,state_index,state_type,cut,exact_unfolding,matrix_rows,matrix_cols,top_singular_value,effective_rank_relerr_0.1,effective_rank_relerr_0.05,effective_rank_relerr_0.01
HM8,local,0,easy,1,False,12,9172942848,5441686.024414137,2,2,2
HM8,local,0,easy,2,False,24,4586471424,7705320.739494798,2,2,2
HM8,local,0,easy,3,False,288,382205952,26767423.817437652,2,2,2
HM8,local,0,easy,4,False,576,191102976,35601075.4474153,2,2,2
HM8,local,0,easy,5,False,6912,15925248,35665865.072247855,2,2,2
HM8,local,0,easy,6,False,13824,7962624,35494316.936843775,2,2,2
HM8,local,0,easy,7,False,165888,663552,35587998.86861495,2,2,2
HM8,local,0,easy,8,False,331776,331776,35710279.380829476,2,2,2
HM8,local,0,easy,9,False,3981312,27648,35656971.1363806,2,2,2
HM8,local,0,easy,10,False,7962624,13824,35545695.894708216,2,2,2
HM8,local,0,easy,11,False,95551488,1152,35534933.434325054,2,2,2
HM8,local,0,easy,12,False,191102976,576,35737168.7460481,2,2,2
HM8,local,0,easy,13,False,2293235712,48,10973184.889246283,2,2,2
HM8,local,0,easy,14,False,4586471424,24,7706396.481820024,2,2,2
HM8,local,0,easy,15,False,55037657088,2,2247147.588630873,2,2,2
HM8,local,1,boundary,1,False,12,9172942848,49395969.04220928,2,2,2
HM8,local,1,boundary,2,False,24,4586471424,69904643.94946465,2,2,2
HM8,local,1,boundary,3,False,288,382205952,242070044.1462908,2,2,2
HM8,local,1,boundary,4,False,576,191102976,322729506.41390914,2,2,2
HM8,local,1,boundary,5,False,6912,15925248,322805464.05958503,2,2,2
HM8,local,1,boundary,6,False,13824,7962624,322804909.4925546,2,2,2
HM8,local,1,boundary,7,False,165888,663552,322892437.9318914,2,2,2
HM8,local,1,boundary,8,False,331776,331776,322766442.81636786,2,2,2
HM8,local,1,boundary,9,False,3981312,27648,322762418.7985739,2,2,2
HM8,local,1,boundary,10,False,7962624,13824,322776422.39899445,2,2,2
HM8,local,1,boundary,11,False,95551488,1152,322792628.0867599,2,2,2
HM8,local,1,boundary,12,False,191102976,576,322848582.3424016,2,2,2
HM8,local,1,boundary,13,False,2293235712,48,98869237.4464382,2,2,2
HM8,local,1,boundary,14,False,4586471424,24,69909184.97561404,2,2,2
HM8,local,1,boundary,15,False,55037657088,2,20153135.44845541,2,2,2
HM8,local,2,hard,1,False,12,9172942848,441339597.7753628,2,2,2
HM8,local,2,hard,2,False,24,4586471424,624152370.6018411,2,2,2
HM8,local,2,hard,3,False,288,382205952,2162100385.1332493,2,2,2
HM8,local,2,hard,4,False,576,191102976,2882903190.083119,2,2,2
HM8,local,2,hard,5,False,6912,15925248,2882899129.588014,2,2,2
HM8,local,2,hard,6,False,13824,7962624,2882840680.5483084,2,2,2
HM8,local,2,hard,7,False,165888,663552,2882783123.1202536,2,2,2
HM8,local,2,hard,8,False,331776,331776,2882874765.914543,2,2,2
HM8,local,2,hard,9,False,3981312,27648,2882849306.0774393,2,2,2
HM8,local,2,hard,10,False,7962624,13824,2882864055.2510114,2,2,2
HM8,local,2,hard,11,False,95551488,1152,2882815533.884899,2,2,2
HM8,local,2,hard,12,False,191102976,576,2882737323.305652,2,2,2
HM8,local,2,hard,13,False,2293235712,48,882645173.738168,2,2,2
HM8,local,2,hard,14,False,4586471424,24,624127860.716556,2,2,2
HM8,local,2,hard,15,False,55037657088,2,180155312.53373134,2,2,2
HM8,block_pam,0,easy,1,False,12,9172942848,5478545.56484511,2,2,2
HM8,block_pam,0,easy,2,False,24,4586471424,7727211.041171599,2,2,2
HM8,block_pam,0,easy,3,False,288,382205952,26731923.492851514,2,2,2
HM8,block_pam,0,easy,4,False,576,191102976,35516689.55681479,2,2,2
HM8,block_pam,0,easy,5,False,6912,15925248,35598836.02118649,2,2,2
HM8,block_pam,0,easy,6,False,13824,7962624,35776282.40407369,2,2,2
HM8,block_pam,0,easy,7,False,165888,663552,35548624.6314132,2,2,2
HM8,block_pam,0,easy,8,False,331776,331776,35562684.8539057,2,2,2
HM8,block_pam,0,easy,9,False,3981312,27648,35654517.87468558,2,2,2
HM8,block_pam,0,easy,10,False,7962624,13824,35629433.30149938,2,2,2
HM8,block_pam,0,easy,11,False,95551488,1152,35550545.73339223,2,2,2
HM8,block_pam,0,easy,12,False,191102976,576,35607485.14617442,2,2,2
HM8,block_pam,0,easy,13,False,2293235712,48,10852148.459207397,2,2,2
HM8,block_pam,0,easy,14,False,4586471424,24,7715093.142468852,2,2,2
HM8,block_pam,0,easy,15,False,55037657088,2,2208237.8699815506,2,2,2
HM8,block_pam,1,boundary,1,False,12,9172942848,49432183.41433203,2,2,2
HM8,block_pam,1,boundary,2,False,24,4586471424,69876107.49709234,2,2,2
HM8,block_pam,1,boundary,3,False,288,382205952,242127951.36929592,2,2,2
HM8,block_pam,1,boundary,4,False,576,191102976,322893504.0985787,2,2,2
HM8,block_pam,1,boundary,5,False,6912,15925248,322750252.2726269,2,2,2
HM8,block_pam,1,boundary,6,False,13824,7962624,322808430.1635023,2,2,2
HM8,block_pam,1,boundary,7,False,165888,663552,322857859.45204765,2,2,2
HM8,block_pam,1,boundary,8,False,331776,331776,322777339.2585734,2,2,2
