env,ordering,state_index,state_type,cut,singular_index,singular_value,exact_unfolding,matrix_rows,matrix_cols,used_rows,used_cols
HM8,local,0,easy,1,1,5441686.024414137,False,12,9172942848,12,512
HM8,local,0,easy,1,2,25615.05214099681,False,12,9172942848,12,512
HM8,local,0,easy,1,3,6.775682620601215e-10,False,12,9172942848,12,512
HM8,local,0,easy,1,4,1.0152553635478987e-10,False,12,9172942848,12,512
HM8,local,0,easy,1,5,7.793195465102578e-11,False,12,9172942848,12,512
HM8,local,0,easy,1,6,6.415662073517762e-11,False,12,9172942848,12,512
HM8,local,0,easy,1,7,5.290453014596335e-11,False,12,9172942848,12,512
HM8,local,0,easy,1,8,2.2360961980001256e-12,False,12,9172942848,12,512
HM8,local,0,easy,1,9,2.6062578392046065e-26,False,12,9172942848,12,512
HM8,local,0,easy,1,10,3.285945915048249e-27,False,12,9172942848,12,512
HM8,local,0,easy,1,11,2.279467031257765e-28,False,12,9172942848,12,512
HM8,local,0,easy,1,12,1.286810710196913e-29,False,12,9172942848,12,512
HM8,local,0,easy,2,1,7705320.739494798,False,24,4586471424,24,512
HM8,local,0,easy,2,2,2720.9851952122967,False,24,4586471424,24,512
HM8,local,0,easy,2,3,1.8138234708317907e-09,False,24,4586471424,24,512
HM8,local,0,easy,2,4,8.303839673512967e-10,False,24,4586471424,24,512
HM8,local,0,easy,2,5,5.521792115501258e-10,False,24,4586471424,24,512
HM8,local,0,easy,2,6,3.8823057915071393e-10,False,24,4586471424,24,512
HM8,local,0,easy,2,7,3.275134974234715e-10,False,24,4586471424,24,512
HM8,local,0,easy,2,8,2.795160501344184e-10,False,24,4586471424,24,512
HM8,local,0,easy,2,9,1.9068651465599239e-10,False,24,4586471424,24,512
HM8,local,0,easy,2,10,1.7304346464603466e-10,False,24,4586471424,24,512
HM8,local,0,easy,2,11,1.4443832452270826e-10,False,24,4586471424,24,512
HM8,local,0,easy,2,12,8.247290699231153e-11,False,24,4586471424,24,512
HM8,local,0,easy,2,13,3.362648538275497e-11,False,24,4586471424,24,512
HM8,local,0,easy,2,14,2.842886149883557e-14,False,24,4586471424,24,512
HM8,local,0,easy,2,15,5.562864832358412e-25,False,24,4586471424,24,512
HM8,local,0,easy,2,16,7.886798919041577e-26,False,24,4586471424,24,512
HM8,local,0,easy,2,17,5.222351798917781e-26,False,24,4586471424,24,512
HM8,local,0,easy,2,18,1.5029112596667997e-26,False,24,4586471424,24,512
HM8,local,0,easy,2,19,1.1738067241173634e-26,False,24,4586471424,24,512
HM8,local,0,easy,2,20,3.846123841841795e-27,False,24,4586471424,24,512
HM8,local,0,easy,2,21,1.7700243310672554e-28,False,24,4586471424,24,512
HM8,local,0,easy,2,22,3.5169301724635455e-42,False,24,4586471424,24,512
HM8,local,0,easy,2,23,8.593029340126298e-43,False,24,4586471424,24,512
HM8,local,0,easy,2,24,3.5693528154387565e-44,False,24,4586471424,24,512
HM8,local,0,easy,3,1,26767423.817437652,False,288,382205952,288,512
HM8,local,0,easy,3,2,145898.65441522122,False,288,382205952,288,512
HM8,local,0,easy,3,3,10131.712922034769,False,288,382205952,288,512
HM8,local,0,easy,3,4,2.5421773183616826e-08,False,288,382205952,288,512
HM8,local,0,easy,3,5,2.1694991632023375e-08,False,288,382205952,288,512
HM8,local,0,easy,3,6,2.0865916411842695e-08,False,288,382205952,288,512
HM8,local,0,easy,3,7,1.6908258905865038e-08,False,288,382205952,288,512
HM8,local,0,easy,3,8,1.3624810986481993e-08,False,288,382205952,288,512
HM8,local,0,easy,3,9,1.1277727275803848e-08,False,288,382205952,288,512
HM8,local,0,easy,3,10,9.104753674821857e-09,False,288,382205952,288,512
HM8,local,0,easy,3,11,7.123485876649892e-09,False,288,382205952,288,512
HM8,local,0,easy,3,12,6.640007488262122e-09,False,288,382205952,288,512
HM8,local,0,easy,3,13,5.642945559032375e-09,False,288,382205952,288,512
HM8,local,0,easy,3,14,5.003068415646123e-09,False,288,382205952,288,512
HM8,local,0,easy,3,15,4.1262677112319424e-09,False,288,382205952,288,512
HM8,local,0,easy,3,16,3.4899150565781087e-09,False,288,382205952,288,512
HM8,local,0,easy,3,17,2.7979529295005854e-09,False,288,382205952,288,512
HM8,local,0,easy,3,18,2.6636188687557116e-09,False,288,382205952,288,512
HM8,local,0,easy,3,19,2.5701436230724263e-09,False,288,382205952,288,512
HM8,local,0,easy,3,20,2.0815137643132543e-09,False,288,382205952,288,512
HM8,local,0,easy,3,21,1.8195062927111067e-09,False,288,382205952,288,512
HM8,local,0,easy,3,22,1.7103574674318594e-09,False,288,382205952,288,512
HM8,local,0,easy,3,23,1.6553647928529947e-09,False,288,382205952,288,512
HM8,local,0,easy,3,24,1.445638306874987e-09,False,288,382205952,288,512
HM8,local,0,easy,3,25,1.360701018756204e-09,False,288,382205952,288,512
HM8,local,0,easy,3,26,1.335962847966635e-09,False,288,382205952,288,512
HM8,local,0,easy,3,27,1.2589456983238539e-09,False,288,382205952,288,512
HM8,local,0,easy,3,28,1.1681049231849025e-09,False,288,382205952,288,512
HM8,local,0,easy,3,29,1.1481930801500671e-09,False,288,382205952,288,512
HM8,local,0,easy,3,30,1.0944560819424044e-09,False,288,382205952,288,512
HM8,local,0,easy,3,31,1.0683763716670172e-09,False,288,382205952,288,512
HM8,local,0,easy,3,32,9.58075788102636e-10,False,288,382205952,288,512
HM8,local,0,easy,4,1,35601075.4474153,False,576,191102976,512,512
HM8,local,0,easy,4,2,20348.697576599505,False,576,191102976,512,512
HM8,local,0,easy,4,3,7.724118850339031e-08,False,576,191102976,512,512
HM8,local,0,easy,4,4,6.235566031672806e-08,False,576,191102976,512,512
HM8,local,0,easy,4,5,5.652644225228066e-08,False,576,191102976,512,512
HM8,local,0,easy,4,6,5.4692712237278155e-08,False,576,191102976,512,512
HM8,local,0,easy,4,7,4.137408216739726e-08,False,576,191102976,512,512
HM8,local,0,easy,4,8,3.9774633636297916e-08,False,576,191102976,512,512
HM8,local,0,easy,4,9,3.471707414478143e-08,False,576,191102976,512,512
HM8,local,0,easy,4,10,3.123341541744859e-08,False,576,191102976,512,512
HM8,local,0,easy,4,11,2.2470051331352435e-08,False,576,191102976,512,512
HM8,local,0,easy,4,12,1.7078796437874683e-08,False,576,191102976,512,512
HM8,local,0,easy,4,13,1.5130812103418175e-08,False,576,191102976,512,512
HM8,local,0,easy,4,14,1.0971489914455228e-08,False,576,191102976,512,512
HM8,local,0,easy,4,15,6.952373565227534e-09,False,576,191102976,512,512
HM8,local,0,easy,4,16,5.614323693264906e-09,False,576,191102976,512,512
HM8,local,0,easy,4,17,4.412054398810597e-09,False,576,191102976,512,512
HM8,local,0,easy,4,18,4.271291467778874e-09,False,576,191102976,512,512
HM8,local,0,easy,4,19,3.9966440436805535e-09,False,576,191102976,512,512
HM8,local,0,easy,4,20,3.3403778520925954e-09,False,576,191102976,512,512
HM8,local,0,easy,4,21,3.2146837824380427e-09,False,576,191102976,512,512
HM8,local,0,easy,4,22,2.989635765637356e-09,False,576,191102976,512,512
HM8,local,0,easy,4,23,2.5845611254405456e-09,False,576,191102976,512,512
HM8,local,0,easy,4,24,2.3374364122700922e-09,False,576,191102976,512,512
HM8,local,0,easy,4,25,2.126925943029947e-09,False,576,191102976,512,512
HM8,local,0,easy,4,26,1.9548259137951763e-09,False,576,191102976,512,512
HM8,local,0,easy,4,27,1.4853019377933572e-09,False,576,191102976,512,512
HM8,local,0,easy,4,28,1.3854792356643704e-09,False,576,191102976,512,512
HM8,local,0,easy,4,29,1.2066671716054938e-09,False,576,191102976,512,512
HM8,local,0,easy,4,30,1.1241436006804393e-09,False,576,191102976,512,512
HM8,local,0,easy,4,31,1.0126968347480872e-09,False,576,191102976,512,512
HM8,local,0,easy,4,32,8.799918125180829e-10,False,576,191102976,512,512
HM8,local,0,easy,5,1,35665865.072247855,False,6912,15925248,512,512
HM8,local,0,easy,5,2,196663.0000203183,False,6912,15925248,512,512
HM8,local,0,easy,5,3,18347.57022198581,False,6912,15925248,512,512
HM8,local,0,easy,5,4,2.2338290971072116e-08,False,6912,15925248,512,512
HM8,local,0,easy,5,5,1.725275566128553e-08,False,6912,15925248,512,512
HM8,local,0,easy,5,6,1.538657887923966e-08,False,6912,15925248,512,512
HM8,local,0,easy,5,7,1.4744571646521071e-08,False,6912,15925248,512,512
HM8,local,0,easy,5,8,1.3379623689371496e-08,False,6912,15925248,512,512
HM8,local,0,easy,5,9,1.1208042193519513e-08,False,6912,15925248,512,512
HM8,local,0,easy,5,10,1.0745327233331759e-08,False,6912,15925248,512,512
HM8,local,0,easy,5,11,9.64154878154711e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,12,8.287363251478351e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,13,5.147099052423949e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,14,4.383694789187467e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,15,3.538516167443472e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,16,3.0287550933180345e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,17,2.895547932656161e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,18,2.7548546380848542e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,19,2.5878931245854212e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,20,2.43764210087394e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,21,2.2768747703302942e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,22,2.2231228199243856e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,23,2.046867865865071e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,24,1.992107350245231e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,25,1.8598711396771942e-09,False,6912,15925248,512,512
HM8,local,0,easy,5,26,1.7214742880258277e-09,False,6912,15925248,512,512
