n_act,order,seed,status,S_mu,Ar,Pr,Peak_GB,Time_s
8,Local,0,OK,0.6718,7,9,2.76,157.0
8,Local,1,OK,0.6418,7,9,1.59,165.0
8,Local,2,OK,0.5463,7,9,4.24,179.0
8,Local,3,OK,0.6545,7,9,2.76,178.0
8,Local,4,OK,0.6092,7,9,2.76,170.0
12,Local,0,OK,0.5582,13,15,5.86,396.0
12,Local,1,OK,0.4999,12,14,5.86,403.0
12,Local,2,OK,0.4927,11,13,5.86,413.0
16,Local,0,OK,0.5763,16,18,5.87,843.0
16,Local,1,OK,0.6022,18,20,5.87,853.0
16,Local,2,OK,0.5212,11,13,5.87,814.0
8,BadSplit,0,OK,0.499,50,52,9.09,661.0
8,BadSplit,1,OK,0.5199,48,50,10.0,665.0
8,BadSplit,2,OK,0.6631,51,53,9.09,706.0
8,BadSplit,3,OK,0.7912,52,54,9.69,675.0
8,BadSplit,4,OK,0.5492,44,46,9.18,661.0
8,Random,0,OK,0.4563,54,56,11.77,748.0
8,Random,1,OK,0.4206,52,54,8.27,680.0
8,Random,2,OK,0.5828,45,47,8.19,657.0
8,Random,3,OK,0.5627,53,55,10.39,630.0
8,Random,4,OK,0.6958,46,48,9.26,649.0
12,BadSplit,0,OOM,0.1892,54,56,8.89,372.0
12,Random,0,OOM,0.24,60,62,10.34,1248.0
16,BadSplit,0,OK,0.2637,60,62,7.84,2220.0
16,Random,0,OK,0.1977,60,62,7.84,2160.0
