task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,1,reward_fcn,after_cross_before_round,0.6927840262651443,9.017344,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,1,reward_fcn,after_round,0.740311099216342,8.562176,221362,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,2,bellman_operator,after_cross_before_round,2.251659852452576,8.887296,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,2,bellman_operator,after_round,2.2544922465458512,8.805376,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,3,get_advantage_from_value,after_cross_before_round,0.5984393181279302,9.289216,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,3,get_advantage_from_value,after_round,0.6208857046440244,8.819712,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,4,bellman_operator,after_cross_before_round,1.9054752299562097,8.823808,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,4,bellman_operator,after_round,1.911021432839334,8.741888,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,5,get_advantage_from_value,after_cross_before_round,0.5860447511076927,9.22368,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,5,get_advantage_from_value,after_round,0.6103180097416043,8.754176,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,6,bellman_operator,after_cross_before_round,1.8728273520246148,8.823808,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,6,bellman_operator,after_round,1.876793883740902,8.745984,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,7,get_advantage_from_value,after_cross_before_round,0.6468729022890329,9.231872,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_orderhybrid_block_only_seed2_prestudy5080hybrid,2,HM8,hybrid_block_only,7,get_advantage_from_value,after_round,0.6802039556205273,8.762368,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
