task_name,seed,env,ordering,call_index,function_name,domain_dim,domain_sizes_json,max_batch,rmax,nswp,eps,kickrank,elapsed_sec,memory_mb_start,memory_mb_end,function_eval_requests,queried_points,rank_profile_json,rank_max,rank_mean
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,1,reward_fcn,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.0001,10,0.7332447608932853,0.0128,8.571392,220144,220144,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,2,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.2449019998311996,8.79616,8.80128,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,3,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.659497570246458,8.798208,8.823808,220144,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,4,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.9666994232684374,8.73472,8.73984,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,5,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6011735359206796,8.73472,8.76032,220144,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,6,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.8781803278252482,8.73472,8.743936,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,7,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.7030983977019787,8.742912,8.768512,220144,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,8,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.9282479379326105,8.742912,8.752128,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,9,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6021106699481606,8.742912,8.768512,220144,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,10,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.8791427724063396,8.742912,8.752128,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,11,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 2, 50]",100002,100,10,0.001,10,0.6176083227619529,8.742912,8.768512,220144,220144,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_state40_action50_iter30_orderhybrid_block_plus_sensitivity_seed0_prestudy5080hybrid,0,HM8,hybrid_block_plus_sensitivity,12,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.000331969000399,8.742912,8.752128,120960,120960,"[3, 3, 2]",3,2.6666666666666665
