seed,training_seed,environment_seed,permutation_seed,state_sampling_seed,env,ordering,canonical_ordering,display_ordering,baseline_category,ordering_group,la_objective,peak_cut_objective,rankaware_proxy_objective,adv_rank_max,adv_rank_mean,val_rank_max,val_rank_mean,peak_memory_mb,runtime_sec,train_time_sec,ordering_search_time_sec,ttpi_training_time_sec,total_time_sec,success_rate,avg_return,mu,best_success_rate,best_mu,best_s_times_mu,tt_cross_calls,tt_cross_function_evals,queried_points_total,status,oom,error_type,error_message,adv_rank_profile_json,val_rank_profile_json,policy_rank_profile_json
0,0,2026,0,0,HM8,hybrid_block_only,hybrid_block_only,HybridBlockOnly,prestudy_ablation,prestudy_ablation,448.0,46.0,58.29533159388881,7.0,4.947368421052632,3.0,2.6666666666666665,2756.178432,171.8230323791504,171.8152084350586,0.007823944091796875,171.8152084350586,171.8230323791504,0.7000000000000001,-248394535.9081726,0.6363606326079722,0.7000000000000001,0.6363606326079722,0.44545244282558055,61,30434742,30434742,ok,False,,,"[4, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 5, 7, 6, 7, 5, 5, 4, 2]","[3, 3, 2]","[6, 9, 8, 6, 7, 6, 7, 6, 7, 6, 7, 7, 9, 8, 9, 7, 7, 6, 2]"
0,0,2026,0,0,HM8,hybrid_block_plus_physics,hybrid_block_plus_physics,HybridBlockPlusPhysics,prestudy_ablation,prestudy_ablation,336.0,30.0,53.6882932872699,7.0,4.842105263157895,3.0,2.6666666666666665,2756.204544,164.95894479751587,164.9509687423706,0.007976055145263672,164.9509687423706,164.95894479751587,0.6,-253366709.10226265,0.7884798570688631,0.61,0.8783714803608299,0.5358066030201062,61,28872798,28872798,ok,False,,,"[4, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 5, 7, 7, 5, 4, 5, 4, 2]","[3, 3, 2]","[6, 9, 8, 6, 7, 6, 7, 6, 7, 6, 7, 7, 9, 9, 7, 6, 7, 6, 2]"
0,0,2026,0,0,HM8,hybrid_block_plus_sensitivity,hybrid_block_plus_sensitivity,HybridBlockPlusSensitivity,prestudy_ablation,prestudy_ablation,336.0,30.0,53.6882932872699,7.0,4.421052631578948,3.0,2.6666666666666665,2756.185088,156.8154354095459,156.80731868743896,0.008116722106933594,156.80731868743896,156.8154354095459,0.8200000000000001,-245446622.89361107,0.7876374603494347,0.8200000000000001,0.7876374603494347,0.6458627174865366,61,27359018,27359018,ok,False,,,"[5, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 3, 4, 3, 3]","[3, 3, 2]","[7, 9, 8, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 6, 5, 6, 5, 5]"
0,0,2026,0,0,HM8,hybrid_current,hybrid_current,HybridCurrent,prestudy_ablation,prestudy_ablation,336.0,30.0,53.6882932872699,7.0,4.842105263157895,3.0,2.6666666666666665,2756.0448,166.49403190612793,166.48615670204163,0.007875204086303711,166.48615670204163,166.49403190612793,0.66,-258553041.37844306,0.7007268640896631,0.79,0.7053638167803902,0.5572374152565083,61,29305570,29305570,ok,False,,,"[4, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 4, 6, 6, 6, 5, 6, 4, 2]","[3, 3, 2]","[6, 9, 8, 6, 7, 6, 7, 6, 7, 6, 7, 6, 8, 8, 8, 7, 8, 6, 2]"
1,1,2026,0,1,HM8,hybrid_block_only,hybrid_block_only,HybridBlockOnly,prestudy_ablation,prestudy_ablation,448.0,46.0,58.29533159388881,7.0,4.526315789473684,3.0,2.6666666666666665,2756.220928,165.56791162490845,165.56008219718933,0.007829427719116211,165.56008219718933,165.56791162490845,0.61,-270842763.68849653,0.7494245554183349,0.61,0.7494245554183349,0.45714897880518424,61,29495810,29495810,ok,False,,,"[4, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 5, 6, 4, 4, 3, 2]","[3, 3, 2]","[6, 9, 8, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 7, 8, 6, 6, 5, 2]"
1,1,2026,0,1,HM8,hybrid_block_plus_physics,hybrid_block_plus_physics,HybridBlockPlusPhysics,prestudy_ablation,prestudy_ablation,336.0,30.0,53.6882932872699,7.0,4.315789473684211,3.0,2.6666666666666665,2756.109824,156.05345106124878,156.04517483711243,0.008276224136352539,156.04517483711243,156.05345106124878,0.68,-261628281.35422868,0.9380159971647429,0.87,0.7553732849511425,0.657174757907494,61,26056002,26056002,ok,False,,,"[4, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 3, 4, 3, 2]","[3, 3, 2]","[6, 9, 8, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 6, 5, 6, 5, 2]"
1,1,2026,0,1,HM8,hybrid_block_plus_sensitivity,hybrid_block_plus_sensitivity,HybridBlockPlusSensitivity,prestudy_ablation,prestudy_ablation,336.0,30.0,53.6882932872699,7.0,3.789473684210526,3.0,2.6666666666666665,2004.918784,149.28959107398987,149.2817976474762,0.007793426513671875,149.2817976474762,149.28959107398987,0.73,-258889843.9329554,0.7831188637181079,0.73,0.7831188637181079,0.5716767705142187,61,23415490,23415490,ok,False,,,"[4, 7, 6, 4, 5, 4, 5, 4, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]","[3, 3, 2]","[6, 9, 8, 6, 7, 6, 7, 6, 6, 5, 6, 5, 6, 5, 5, 4, 5, 4, 4]"
1,1,2026,0,1,HM8,hybrid_current,hybrid_current,HybridCurrent,prestudy_ablation,prestudy_ablation,336.0,30.0,53.6882932872699,8.0,5.7368421052631575,3.0,2.6666666666666665,2756.046848,155.72808051109314,155.71995043754578,0.008130073547363281,155.71995043754578,155.72808051109314,0.53,-257350869.1023697,0.7679389500965706,0.81,0.6978824024675014,0.5652847459986762,61,26488774,26488774,ok,False,,,"[4, 7, 6, 5, 6, 5, 6, 5, 7, 6, 7, 6, 8, 7, 7, 5, 6, 4, 2]","[3, 3, 2]","[6, 9, 8, 7, 8, 7, 8, 7, 9, 8, 9, 8, 10, 9, 9, 7, 8, 6, 2]"
2,2,2026,0,2,HM8,hybrid_block_only,hybrid_block_only,HybridBlockOnly,prestudy_ablation,prestudy_ablation,448.0,46.0,58.29533159388881,9.0,6.0,3.0,2.6666666666666665,2637.221376,158.06931447982788,158.06135082244873,0.00796365737915039,158.06135082244873,158.06931447982788,0.6,-236349931.36265287,0.6594520467545444,0.6,0.8467921708626154,0.5080753025175692,61,27237466,27237466,ok,False,,,"[4, 7, 6, 5, 6, 5, 6, 5, 7, 6, 8, 6, 8, 7, 9, 7, 6, 4, 2]","[3, 3, 2]","[6, 9, 8, 7, 8, 7, 8, 7, 9, 8, 10, 8, 10, 9, 11, 9, 8, 6, 2]"
2,2,2026,0,2,HM8,hybrid_block_plus_physics,hybrid_block_plus_physics,HybridBlockPlusPhysics,prestudy_ablation,prestudy_ablation,336.0,30.0,53.6882932872699,7.0,4.578947368421052,3.0,2.6666666666666665,2756.147712,160.7746706008911,160.76668906211853,0.007981538772583008,160.76668906211853,160.7746706008911,0.62,-256717970.82510293,0.6520628531457889,0.74,0.7661901884539285,0.5669807394559071,61,27427706,27427706,ok,False,,,"[4, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 4, 6, 5, 5, 4, 5, 3, 2]","[3, 3, 2]","[6, 9, 8, 6, 7, 6, 7, 6, 7, 6, 7, 6, 8, 7, 7, 6, 7, 5, 2]"
