task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,1,reward_fcn,after_cross_before_round,0.7214515181258321,9.017344,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,1,reward_fcn,after_round,0.7707404801622033,8.562176,221362,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,2,bellman_operator,after_cross_before_round,2.3811963507905602,8.887296,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,2,bellman_operator,after_round,2.3881561951711774,8.805376,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,3,get_advantage_from_value,after_cross_before_round,0.6432446073740721,9.289216,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,3,get_advantage_from_value,after_round,0.6681782891973853,8.819712,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,4,bellman_operator,after_cross_before_round,2.1482163704931736,8.823808,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,4,bellman_operator,after_round,2.152893628925085,8.741888,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,5,get_advantage_from_value,after_cross_before_round,0.7236579665914178,9.22368,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,5,get_advantage_from_value,after_round,0.7469399524852633,8.754176,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,6,bellman_operator,after_cross_before_round,2.1276278160512447,8.823808,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,6,bellman_operator,after_round,2.131465774960816,8.745984,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,7,get_advantage_from_value,after_cross_before_round,0.6360960565507412,9.231872,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,7,get_advantage_from_value,after_round,0.6598784429952502,8.762368,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,8,bellman_operator,after_cross_before_round,2.0668107327073812,8.832,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,8,bellman_operator,after_round,2.074701181612909,8.754176,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,9,get_advantage_from_value,after_cross_before_round,0.7145296474918723,9.231872,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,9,get_advantage_from_value,after_round,0.7405695067718625,8.762368,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_ordersensitivity_lite_first_order_seed2_prestudy5080lite,2,HM8,sensitivity_lite_first_order,10,bellman_operator,after_cross_before_round,2.062208076007664,8.832,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
